t_s,joint1,joint2,joint3,joint4,joint5,joint6
2.750,0.208999,-0.197538,0.507295,0.000000,0.262892,0.000000
2.800,0.192701,-0.196457,0.489563,0.000000,0.257258,0.000000
2.850,0.175976,-0.195183,0.472266,0.000000,0.251258,0.000000
2.900,0.158859,-0.193717,0.455474,0.000000,0.244902,0.000000
2.950,0.141390,-0.192059,0.439252,0.000000,0.238197,0.000000
3.000,0.123607,-0.190211,0.423664,0.000000,0.231154,0.000000
3.050,0.105549,-0.188176,0.408773,0.000000,0.223782,0.000000
3.100,0.087257,-0.185955,0.394636,0.000000,0.216093,0.000000
3.150,0.068772,-0.183551,0.381309,0.000000,0.208096,0.000000
3.200,0.050133,-0.180965,0.368846,0.000000,0.199804,0.000000
3.250,0.031384,-0.178201,0.357295,0.000000,0.191227,0.000000
3.300,0.012564,-0.175261,0.346702,0.000000,0.182379,0.000000
3.350,-0.006283,-0.172148,0.337108,0.000000,0.173272,0.000000
3.400,-0.025116,-0.168866,0.328552,0.000000,0.163918,0.000000
3.450,-0.043894,-0.165416,0.321067,0.000000,0.154332,0.000000
3.500,-0.062574,-0.161803,0.314683,0.000000,0.144526,0.000000
3.550,-0.081115,-0.158031,0.309425,0.000000,0.134515,0.000000
3.600,-0.099476,-0.154103,0.305314,0.000000,0.124313,0.000000
3.650,-0.117616,-0.150022,0.302366,0.000000,0.113934,0.000000
3.700,-0.135495,-0.145794,0.300592,0.000000,0.103393,0.000000
3.750,-0.153073,-0.141421,0.300000,0.000000,0.092705,0.000000
3.800,-0.170312,-0.136909,0.300592,0.000000,0.081886,0.000000
3.850,-0.187172,-0.132262,0.302366,0.000000,0.070950,0.000000
3.900,-0.203617,-0.127485,0.305314,0.000000,0.059913,0.000000
3.950,-0.219609,-0.122581,0.309425,0.000000,0.048791,0.000000
4.000,-0.235114,-0.117557,0.314683,0.000000,0.037600,0.000000
4.050,-0.250097,-0.112417,0.321067,0.000000,0.026355,0.000000
4.100,-0.264525,-0.107165,0.328552,0.000000,0.015073,0.000000
4.150,-0.278365,-0.101808,0.337108,0.000000,0.003770,0.000000
4.200,-0.291587,-0.096351,0.346702,0.000000,-0.007539,0.000000
4.250,-0.304162,-0.090798,0.357295,0.000000,-0.018837,0.000000
4.300,-0.316062,-0.085156,0.368846,0.000000,-0.030109,0.000000
4.350,-0.327260,-0.079430,0.381309,0.000000,-0.041337,0.000000
4.400,-0.337731,-0.073625,0.394636,0.000000,-0.052507,0.000000
4.450,-0.347453,-0.067748,0.408773,0.000000,-0.063602,0.000000
4.500,-0.356403,-0.061803,0.423664,0.000000,-0.074607,0.000000
4.550,-0.364561,-0.055798,0.439252,0.000000,-0.085506,0.000000
4.600,-0.371911,-0.049738,0.455474,0.000000,-0.096283,0.000000
4.650,-0.378434,-0.043629,0.472266,0.000000,-0.106924,0.000000
4.700,-0.384117,-0.037476,0.489563,0.000000,-0.117412,0.000000
4.750,-0.388948,-0.031287,0.507295,0.000000,-0.127734,0.000000
4.800,-0.392915,-0.025067,0.525393,0.000000,-0.137874,0.000000
4.850,-0.396009,-0.018822,0.543786,0.000000,-0.147818,0.000000
4.900,-0.398225,-0.012558,0.562400,0.000000,-0.157552,0.000000
4.950,-0.399556,-0.006282,0.581163,0.000000,-0.167063,0.000000
5.000,-0.400000,-0.000000,0.600000,0.000000,-0.176336,0.000000
5.050,-0.399556,0.006282,0.618837,0.000000,-0.185358,0.000000
5.100,-0.398225,0.012558,0.637600,0.000000,-0.194117,0.000000
5.150,-0.396009,0.018822,0.656214,0.000000,-0.202600,0.000000
5.200,-0.392915,0.025067,0.674607,0.000000,-0.210795,0.000000
5.250,-0.388948,0.031287,0.692705,0.000000,-0.218691,0.000000
5.300,-0.384117,0.037476,0.710437,0.000000,-0.226275,0.000000
5.350,-0.378434,0.043629,0.727734,0.000000,-0.233539,0.000000
5.400,-0.371911,0.049738,0.744526,0.000000,-0.240470,0.000000
5.450,-0.364561,0.055798,0.760748,0.000000,-0.247060,0.000000
5.500,-0.356403,0.061803,0.776336,0.000000,-0.253298,0.000000
5.550,-0.347453,0.067748,0.791227,0.000000,-0.259177,0.000000
5.600,-0.337731,0.073625,0.805364,0.000000,-0.264687,0.000000
5.650,-0.327260,0.079430,0.818691,0.000000,-0.269822,0.000000
5.700,-0.316062,0.085156,0.831154,0.000000,-0.274572,0.000000
5.750,-0.304162,0.090798,0.842705,0.000000,-0.278933,0.000000
5.800,-0.291587,0.096351,0.853298,0.000000,-0.282897,0.000000
5.850,-0.278365,0.101808,0.862892,0.000000,-0.286459,0.000000
5.900,-0.264525,0.107165,0.871448,0.000000,-0.289614,0.000000
5.950,-0.250097,0.112417,0.878933,0.000000,-0.292358,0.000000
6.000,-0.235114,0.117557,0.885317,0.000000,-0.294686,0.000000
6.050,-0.219609,0.122581,0.890575,0.000000,-0.296596,0.000000
6.100,-0.203617,0.127485,0.894686,0.000000,-0.298083,0.000000
6.150,-0.187172,0.132262,0.897634,0.000000,-0.299148,0.000000
6.200,-0.170312,0.136909,0.899408,0.000000,-0.299787,0.000000
6.250,-0.153073,0.141421,0.900000,0.000000,-0.300000,0.000000
6.300,-0.135495,0.145794,0.899408,0.000000,-0.299787,0.000000
6.350,-0.117616,0.150022,0.897634,0.000000,-0.299148,0.000000
6.400,-0.099476,0.154103,0.894686,0.000000,-0.298083,0.000000
6.450,-0.081115,0.158031,0.890575,0.000000,-0.296596,0.000000
6.500,-0.062574,0.161803,0.885317,0.000000,-0.294686,0.000000
6.550,-0.043894,0.165416,0.878933,0.000000,-0.292358,0.000000
6.600,-0.025116,0.168866,0.871448,0.000000,-0.289614,0.000000
6.650,-0.006283,0.172148,0.862892,0.000000,-0.286459,0.000000
6.700,0.012564,0.175261,0.853298,0.000000,-0.282897,0.000000
6.750,0.031384,0.178201,0.842705,0.000000,-0.278933,0.000000
6.800,0.050133,0.180965,0.831154,0.000000,-0.274572,0.000000
6.850,0.068772,0.183551,0.818691,0.000000,-0.269822,0.000000
6.900,0.087257,0.185955,0.805364,0.000000,-0.264687,0.000000
6.950,0.105549,0.188176,0.791227,0.000000,-0.259177,0.000000
7.000,0.123607,0.190211,0.776336,0.000000,-0.253298,0.000000
7.050,0.141390,0.192059,0.760748,0.000000,-0.247060,0.000000
7.100,0.158859,0.193717,0.744526,0.000000,-0.240470,0.000000
7.150,0.175976,0.195183,0.727734,0.000000,-0.233539,0.000000
7.200,0.192701,0.196457,0.710437,0.000000,-0.226275,0.000000
7.250,0.208999,0.197538,0.692705,0.000000,-0.218691,0.000000
7.300,0.224833,0.198423,0.674607,0.000000,-0.210795,0.000000
7.350,0.240168,0.199112,0.656214,0.000000,-0.202600,0.000000
7.400,0.254970,0.199605,0.637600,0.000000,-0.194117,0.000000
7.450,0.269205,0.199901,0.618837,0.000000,-0.185358,0.000000
7.500,0.282843,0.200000,0.600000,0.000000,-0.176336,0.000000
7.550,0.295852,0.199901,0.581163,0.000000,-0.167063,0.000000
7.600,0.308205,0.199605,0.562400,0.000000,-0.157552,0.000000
7.650,0.319874,0.199112,0.543786,0.000000,-0.147818,0.000000
7.700,0.330832,0.198423,0.525393,0.000000,-0.137874,0.000000
7.750,0.341056,0.197538,0.507295,0.000000,-0.127734,0.000000
7.800,0.350523,0.196457,0.489563,0.000000,-0.117412,0.000000
7.850,0.359211,0.195183,0.472266,0.000000,-0.106924,0.000000
7.900,0.367102,0.193717,0.455474,0.000000,-0.096283,0.000000
7.950,0.374178,0.192059,0.439252,0.000000,-0.085506,0.000000
8.000,0.380423,0.190211,0.423664,0.000000,-0.074607,0.000000
8.050,0.385823,0.188176,0.408773,0.000000,-0.063602,0.000000
8.100,0.390367,0.185955,0.394636,0.000000,-0.052507,0.000000
8.150,0.394044,0.183551,0.381309,0.000000,-0.041337,0.000000
8.200,0.396846,0.180965,0.368846,0.000000,-0.030109,0.000000
8.250,0.398767,0.178201,0.357295,0.000000,-0.018837,0.000000
8.300,0.399803,0.175261,0.346702,0.000000,-0.007539,0.000000
8.350,0.399951,0.172148,0.337108,0.000000,0.003770,0.000000
8.400,0.399211,0.168866,0.328552,0.000000,0.015073,0.000000
8.450,0.397584,0.165416,0.321067,0.000000,0.026355,0.000000
8.500,0.395075,0.161803,0.314683,0.000000,0.037600,0.000000
8.550,0.391689,0.158031,0.309425,0.000000,0.048791,0.000000
8.600,0.387433,0.154103,0.305314,0.000000,0.059913,0.000000
8.650,0.382317,0.150022,0.302366,0.000000,0.070950,0.000000
8.700,0.376352,0.145794,0.300592,0.000000,0.081886,0.000000
8.750,0.369552,0.141421,0.300000,0.000000,0.092705,0.000000
8.800,0.361931,0.136909,0.300592,0.000000,0.103393,0.000000
8.850,0.353506,0.132262,0.302366,0.000000,0.113934,0.000000
8.900,0.344297,0.127485,0.305314,0.000000,0.124313,0.000000
8.950,0.334323,0.122581,0.309425,0.000000,0.134515,0.000000
9.000,0.323607,0.117557,0.314683,0.000000,0.144526,0.000000
9.050,0.312172,0.112417,0.321067,0.000000,0.154332,0.000000
9.100,0.300044,0.107165,0.328552,0.000000,0.163918,0.000000
9.150,0.287251,0.101808,0.337108,0.000000,0.173272,0.000000
9.200,0.273819,0.096351,0.346702,0.000000,0.182379,0.000000
9.250,0.259779,0.090798,0.357295,0.000000,0.191227,0.000000
9.300,0.245163,0.085156,0.368846,0.000000,0.199804,0.000000
9.350,0.230002,0.079430,0.381309,0.000000,0.208096,0.000000
9.400,0.214331,0.073625,0.394636,0.000000,0.216093,0.000000
9.450,0.198183,0.067748,0.408773,0.000000,0.223782,0.000000
9.500,0.181596,0.061803,0.423664,0.000000,0.231154,0.000000
9.550,0.164606,0.055798,0.439252,0.000000,0.238197,0.000000
9.600,0.147250,0.049738,0.455474,0.000000,0.244902,0.000000
9.650,0.129567,0.043629,0.472266,0.000000,0.251258,0.000000
9.700,0.111596,0.037476,0.489563,0.000000,0.257258,0.000000
9.750,0.093378,0.031287,0.507295,0.000000,0.262892,0.000000
9.800,0.074953,0.025067,0.525393,0.000000,0.268152,0.000000
9.850,0.056360,0.018822,0.543786,0.000000,0.273032,0.000000
9.900,0.037643,0.012558,0.562400,0.000000,0.277523,0.000000
9.950,0.018843,0.006282,0.581163,0.000000,0.281620,0.000000
10.000,0.000000,0.000000,0.600000,0.000000,0.285317,0.000000
